name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
backbone.3.bn,BatchNorm2d,Backbone,Enclave,2.7053640003941837,0.03815488342638354,2.6640250007403665,2.7717760003724834,2.7606484003626974,2.769550480370526,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 256, 80, 80]","[1, 256, 80, 80]",['backbone.3.conv'],5,13111296,13111296,60,13111356,2048,2048,13107200,1,60
backbone.3.silu,SiLU,Backbone,Enclave,18.4794310000143,0.09196864502632876,18.39430000018183,18.61494600052538,18.605000000388827,18.61295680049807,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 256, 80, 80]","[1, 256, 80, 80]",['backbone.3.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.4.cv1.conv,Conv2d,Backbone,Enclave,95.12719720005407,1.6311916799479222,93.68031200028781,97.55211799983954,97.36675739986822,97.51504587984527,0.0,0.0,0.0,0.0,6553600,3276800,"[1, 256, 80, 80]","[1, 128, 80, 80]",['backbone.3.silu'],5,9961984,9961984,60,9962044,131072,512,9830400,1,60
backbone.4.cv1.bn,BatchNorm2d,Backbone,Enclave,1.330743400285428,0.004690503438411098,1.3227790004748385,1.3364520000322955,1.3358018000872107,1.3363219600432785,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.cv1.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.cv1.silu,SiLU,Backbone,Enclave,9.243388600043545,0.046924777335684585,9.182687999782502,9.297820000028878,9.296272199935629,9.297510440010228,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.cv1.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.cv2.conv,Conv2d,Backbone,Enclave,93.58205280004768,1.0783419206250169,92.21996900032536,95.44844700030808,95.1125530002173,95.38126820028992,0.0,0.0,0.0,0.0,6553600,3276800,"[1, 256, 80, 80]","[1, 128, 80, 80]",['backbone.4.cv1.silu'],5,9961984,9961984,60,9962044,131072,512,9830400,1,60
backbone.4.cv2.bn,BatchNorm2d,Backbone,Enclave,1.3665559999935795,0.04650109633190831,1.3266740006656619,1.45594399964466,1.4380209997398197,1.4523593996636919,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.cv2.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.cv2.silu,SiLU,Backbone,Enclave,9.86235120017227,0.7045668927777311,9.250866000002134,10.818577999998524,10.779439200086927,10.810750240016205,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.cv2.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.0.cv1.conv,Conv2d,Backbone,Enclave,74.77943119974952,8.536134278774162,66.9134160007161,85.77184899968415,85.53666479965614,85.72481215967855,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.cv2.silu'],5,6619648,6619648,60,6619708,65536,512,6553600,1,60
backbone.4.m.0.cv1.bn,BatchNorm2d,Backbone,Enclave,1.3411753998298082,0.029033875488635907,1.318005000030098,1.39775799925701,1.385353599471273,1.3952771192998625,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.0.cv1.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
