LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations,CPU_Memory_Bytes,TEE_Memory_Bytes,TEE_Encryption_Overhead,TEE_Total_Memory_Bytes,Weight_Bytes,Bias_Bytes,Activation_Bytes,Num_Chunks,Chunk_Metadata_Bytes
inception_a3_b2_relu1,SecretReLULayer,Inception-A3,0.2843,0.013,0.2599,0.3047,0.301,0.304,0.013,0.0039,0.0099,0.0187,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b2_1x1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a3_b2_3x3,SGXConvBase,Inception-A3,16.5694,0.1288,16.414,16.8107,16.7787,16.8043,1.2598,0.0126,1.2437,1.2878,470400,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a3_b2_relu1,10,1005568,1005568,120,1005688,221184,384,784000,2,60
inception_a3_b2_relu2,SecretReLULayer,Inception-A3,0.3865,0.0212,0.3526,0.4178,0.4151,0.4172,0.0126,0.0011,0.0119,0.0152,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a3_b2_3x3,10,940800,940800,60,940860,0,0,940800,1,60
inception_a3_b3_1x1,SGXConvBase,Inception-A3,12.1506,0.129,11.9983,12.3773,12.3699,12.3758,0.3847,0.0079,0.3724,0.3995,235200,235200,"[1, 256, 35, 35]","[1, 48, 35, 35]",inception_a2_concat,10,1538944,1538944,120,1539064,49152,192,1489600,2,60
inception_a3_b3_relu1,SecretReLULayer,Inception-A3,0.2331,0.0135,0.2124,0.2594,0.2532,0.2582,0.0191,0.0008,0.0187,0.0214,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a3_b3_1x1,10,470400,470400,60,470460,0,0,470400,1,60
inception_a3_b3_3x3_1,SGXConvBase,Inception-A3,7.6155,0.0524,7.5232,7.7074,7.6925,7.7044,0.7703,0.0903,0.6231,0.8581,313600,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_relu1,10,659648,659648,60,659708,110592,256,548800,1,60
inception_a3_b3_relu2,SecretReLULayer,Inception-A3,0.2802,0.009,0.2652,0.2941,0.2913,0.2936,0.0101,0.0003,0.0099,0.0107,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_3x3_1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a3_b3_3x3_2,SGXConvBase,Inception-A3,9.7464,0.2995,9.5561,10.6209,10.2422,10.5452,0.6088,0.0091,0.5972,0.6212,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_relu2,10,774912,774912,60,774972,147456,256,627200,1,60
inception_a3_b3_relu3,SecretReLULayer,Inception-A3,0.2926,0.0255,0.2679,0.3487,0.3391,0.3468,0.0111,0.0026,0.0099,0.0187,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_3x3_2,10,627200,627200,60,627260,0,0,627200,1,60
inception_a3_b4_pool,SecretMaxpool2dLayer,Inception-A3,0.3997,0.0401,0.3681,0.5145,0.4682,0.5053,5.9846,0.0196,5.9479,6.0169,940800,940800,"[1, 256, 35, 35]","[1, 256, 35, 35]",inception_a2_concat,10,2508800,2508800,180,2508980,0,0,2508800,3,60
inception_a3_b4_1x1,SGXConvBase,Inception-A3,5.6954,0.2538,5.5241,6.4346,6.1154,6.3708,0.2106,0.0074,0.2002,0.2226,156800,156800,"[1, 256, 35, 35]","[1, 32, 35, 35]",inception_a3_b4_pool,10,1444096,1444096,120,1444216,32768,128,1411200,2,60
inception_a3_b4_relu,SecretReLULayer,Inception-A3,0.1939,0.0126,0.1724,0.213,0.2125,0.2129,0.0105,0.0015,0.0097,0.0148,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a3_b4_1x1,10,313600,313600,60,313660,0,0,313600,1,60
inception_a3_concat,SecretConcatenateLayer,Inception-A3,0.2306,0.0195,0.2097,0.2645,0.2618,0.2639,0.01,0,0.01,0.01,1254400,1254400,[],"[1, 256, 35, 35]",inception_a3_b1_relu;inception_a3_b2_relu2;inception_a3_b3_relu3;inception_a3_b4_relu,10,1254400,1254400,120,1254520,0,0,1254400,2,60
reduction_a_b1_3x3,SGXConvBase,Reduction-A,60.2786,1.9439,59.048,65.9829,63.5245,65.4912,4.3657,0.0552,4.3189,4.5198,443904,443904,"[1, 256, 35, 35]","[1, 384, 17, 17]",inception_a3_concat,10,5238784,5238784,180,5238964,3538944,1536,1698304,3,60
reduction_a_b1_relu,SecretReLULayer,Reduction-A,0.3848,0.0201,0.3485,0.4163,0.4155,0.4161,0.0119,0.0002,0.0116,0.0124,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",reduction_a_b1_3x3,10,887808,887808,60,887868,0,0,887808,1,60
reduction_a_b2_1x1,SGXConvBase,Reduction-A,18.9665,0.2909,18.6439,19.5589,19.4702,19.5412,4.4141,0.3062,3.8326,4.792,940800,940800,"[1, 256, 35, 35]","[1, 192, 35, 35]",inception_a3_concat,10,2392576,2392576,120,2392696,196608,768,2195200,2,60
reduction_a_b2_relu1,SecretReLULayer,Reduction-A,0.6513,0.0264,0.6114,0.6842,0.6841,0.6842,0.0325,0.0041,0.0289,0.0409,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",reduction_a_b2_1x1,10,1881600,1881600,60,1881660,0,0,1881600,1,60
reduction_a_b2_3x3,SGXConvBase,Reduction-A,38.3495,0.2418,37.9587,38.7113,38.6653,38.7021,3.6575,0.038,3.6069,3.7301,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",reduction_a_b2_relu1,10,3209472,3209472,120,3209592,1327104,768,1881600,2,60
reduction_a_b2_relu2,SecretReLULayer,Reduction-A,0.6524,0.0185,0.6258,0.6916,0.6817,0.6896,0.0314,0.0016,0.0299,0.0352,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",reduction_a_b2_3x3,10,1881600,1881600,60,1881660,0,0,1881600,1,60
reduction_a_b2_3x3_stride2,SGXConvBase,Reduction-A,46.2196,0.2618,45.968,46.7904,46.6667,46.7657,6.883,3.2966,5.1084,15.161,443904,443904,"[1, 192, 35, 35]","[1, 384, 17, 17]",reduction_a_b2_relu2,10,4040448,4040448,180,4040628,2654208,1536,1384704,3,60
reduction_a_b2_relu3,SecretReLULayer,Reduction-A,0.3882,0.0285,0.3526,0.4578,0.4373,0.4537,0.019,0.0006,0.0182,0.02,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",reduction_a_b2_3x3_stride2,10,887808,887808,60,887868,0,0,887808,1,60
reduction_a_b3_pool,SecretMaxpool2dLayer,Reduction-A,0.4586,0.0546,0.4077,0.6113,0.5562,0.6003,2.1091,0.3066,1.8789,2.6592,295936,295936,"[1, 256, 35, 35]","[1, 256, 17, 17]",inception_a3_concat,10,1550336,1550336,60,1550396,0,0,1550336,1,60
reduction_a_concat,SecretConcatenateLayer,Reduction-A,0.2223,0.0167,0.1979,0.2573,0.2493,0.2557,0.01,0,0.01,0.01,887808,887808,[],"[1, 1024, 17, 17]",reduction_a_b1_relu;reduction_a_b2_relu3;reduction_a_b3_pool,10,1183744,1183744,60,1183804,0,0,1183744,1,60
inception_b1_b1_1x1,SGXConvBase,Inception-B1,18.5449,0.2397,18.2714,18.9379,18.9271,18.9357,1.1666,0.0132,1.1485,1.1949,221952,221952,"[1, 1024, 17, 17]","[1, 192, 17, 17]",reduction_a_concat,10,2192896,2192896,600,2193496,786432,768,1405696,10,60
inception_b1_b1_relu,SecretReLULayer,Inception-B1,0.2361,0.0132,0.2146,0.2538,0.2531,0.2537,0.0102,0.0025,0.0086,0.0151,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b1_1x1,10,443904,443904,120,444024,0,0,443904,2,60
inception_b1_b2_1x1,SGXConvBase,Inception-B1,15.7754,0.1119,15.615,15.9851,15.9411,15.9763,0.5601,0.0122,0.5429,0.5813,147968,147968,"[1, 1024, 17, 17]","[1, 128, 17, 17]",reduction_a_concat,10,1856512,1856512,540,1857052,524288,512,1331712,9,60
inception_b1_b2_relu1,SecretReLULayer,Inception-B1,0.1956,0.0139,0.1667,0.2168,0.2141,0.2163,0.0108,0.0019,0.0097,0.0146,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b1_b2_1x1,10,295936,295936,120,296056,0,0,295936,2,60
inception_b1_b2_3x3,SGXConvBase,Inception-B1,8.1984,0.9202,7.8021,10.9527,9.6316,10.6885,1.1954,0.0428,1.1615,1.3048,221952,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b1_b2_relu1,10,1255424,1255424,360,1255784,884736,768,369920,6,60
inception_b1_b2_relu2,SecretReLULayer,Inception-B1,0.2348,0.0179,0.2047,0.2652,0.2602,0.2642,0.0184,0.0001,0.0182,0.0187,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b2_3x3,10,443904,443904,120,444024,0,0,443904,2,60
inception_b1_b3_1x1,SGXConvBase,Inception-B1,10.538,0.1056,10.3841,10.7706,10.7136,10.7592,0.5624,0.0109,0.546,0.5817,147968,147968,"[1, 1024, 17, 17]","[1, 128, 17, 17]",reduction_a_concat,10,1856512,1856512,540,1857052,524288,512,1331712,9,60
