name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
block3_attn_v_matmul,MatMul,Block3,16.1822867,0.2527786565,15.856477,16.739125,16.5625162,16.70380324,0.5054574999,0.01106512968,0.490636,0.5211979997,2468016,605184,"[1, 12, 197, 197]","[1, 12, 197, 64]","['block3_attn_softmax', 'block3_attn_qkv_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block3_attn_out_proj,Linear,Block3,3.729658,0.1471295589,3.566423,4.012973,3.972229551,4.004824311,1.6385296,0.01253592795,1.613318,1.660727999,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block3_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block3_norm2,LayerNorm,Block3,0.4118622997,0.01081684349,0.3945339995,0.4321479992,0.4268163991,0.4310816791,0.08383099994,0.009636260264,0.07830200047,0.1078499999,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block3_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block3_ffn_fc1,Linear,Block3,30.4716627,0.5497514664,29.809978,31.716614,31.4409521,31.66148162,6.5850032,0.3026017427,6.254211,7.062561001,605184,2420736,"[1, 197, 768]","[1, 197, 3072]",['block3_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12475392,12475392,60,12475452,9437184,12288,3025920,1,60
block3_ffn_gelu,GELU,Block3,14.8892765,0.1874194937,14.612358,15.299867,15.19854455,15.27960251,1.3725057,0.02462417978,1.317329,1.403934,2420736,2420736,"[1, 197, 3072]","[1, 197, 3072]",['block3_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,4841472,4841472,60,4841532,0,0,4841472,1,60
block3_ffn_fc2,Linear,Block3,14.3255641,0.3803626732,13.526275,14.867616,14.8435896,14.86281072,6.7690373,0.1366298907,6.493842,6.915823,2420736,605184,"[1, 197, 3072]","[1, 197, 768]",['block3_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12466176,12466176,60,12466236,9437184,3072,3025920,1,60
block4_norm1,LayerNorm,Block4,0.4111885,0.01289929562,0.3921280004,0.4421820013,0.4338462002,0.4405148411,0.08153099998,0.006493757598,0.07771699984,0.09800099997,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block3_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block4_attn_qkv_proj,Linear,Block4,23.9889273,0.5874332777,23.085112,25.021379,24.9205736,25.00121792,5.0307885,0.2287828623,4.714739,5.320817,605184,1815552,"[1, 197, 768]","[1, 197, 2304]",['block4_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,9507840,9507840,60,9507900,7077888,9216,2420736,1,60
block4_attn_qk_matmul,MatMul,Block4,22.5847411,0.1992439876,22.332785,22.898421,22.86985095,22.89270699,0.7245725002,0.0205822711,0.705679,0.7833810005,1210368,1862832,"[1, 12, 197, 64]","[1, 12, 197, 197]",['block4_attn_qkv_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block4_attn_softmax,Softmax,Block4,5.2389748,0.03650760655,5.179426,5.305388999,5.2888623,5.302083659,0.7407262,0.01573545138,0.7226040007,0.770523,1862832,1862832,"[1, 12, 197, 197]","[1, 12, 197, 197]",['block4_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3725664,3725664,60,3725724,0,0,3725664,1,60
