9LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_a3_b3_1x1,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3847,0.0079,0.3724,0.3995,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",,10
inception_a3_b3_relu1,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,0.0008,0.0187,0.0214,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",,10
inception_a3_b3_3x3_1,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7703,0.0903,0.6231,0.8581,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b3_relu2,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0003,0.0099,0.0107,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b3_3x3_2,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6088,0.0091,0.5972,0.6212,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b3_relu3,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0026,0.0099,0.0187,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b4_pool,SecretMaxpool2dLayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9846,0.0196,5.9479,6.0169,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
inception_a3_b4_1x1,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2106,0.0074,0.2002,0.2226,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",,10
inception_a3_b4_relu,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,0.0015,0.0097,0.0148,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",,10
inception_a3_concat,SecretConcatenateLayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,1254400,1254400,"[1, 256, 35, 35]","[1, 256, 35, 35]",,10
reduction_a_b1_3x3,SGXConvBase,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3657,0.0552,4.3189,4.5198,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",,10
reduction_a_b1_relu,SecretReLULayer,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0119,0.0002,0.0116,0.0124,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",,10
