LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_b2_b4_relu,SecretReLULayer,Inception-B2,0.2444,0.0244,0.2087,0.2851,0.2826,0.2846,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b4_1x1,10
inception_b2_concat,SecretConcatenateLayer,Inception-B2,0.2023,0.0191,0.1781,0.2451,0.2323,0.2426,0,0,0,0,0,887808,[],"[1, 768, 17, 17]",inception_b2_b1_relu;inception_b2_b2_relu2;inception_b2_b3_relu3;inception_b2_b4_relu,10
inception_b3_b1_1x1,SGXConvBase,Inception-B3,17.3296,0.5138,16.8705,18.6711,18.285,18.5939,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b2_concat,10
inception_b3_b1_relu,SecretReLULayer,Inception-B3,0.242,0.0362,0.2068,0.3415,0.3048,0.3341,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b1_1x1,10
inception_b3_b2_1x1,SGXConvBase,Inception-B3,7.702,0.296,7.4474,8.5358,8.189,8.4665,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b2_concat,10
inception_b3_b2_relu1,SecretReLULayer,Inception-B3,0.1866,0.0106,0.1759,0.2116,0.205,0.2103,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b3_b2_1x1,10
inception_b3_b2_3x3,SGXConvBase,Inception-B3,2.7753,0.096,2.6371,2.9091,2.9008,2.9075,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b3_b2_relu1,10
inception_b3_b2_relu2,SecretReLULayer,Inception-B3,0.2276,0.0167,0.2087,0.2666,0.2547,0.2642,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b2_3x3,10
inception_b3_b3_1x1,SGXConvBase,Inception-B3,2.292,0.1343,2.138,2.5921,2.5448,2.5826,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b2_concat,10
inception_b3_b3_relu1,SecretReLULayer,Inception-B3,0.197,0.0297,0.1645,0.2654,0.2426,0.2609,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b3_b3_1x1,10
inception_b3_b3_3x3_1,SGXConvBase,Inception-B3,2.7602,0.3766,2.5676,3.8585,3.4206,3.7709,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_relu1,10
inception_b3_b3_relu2,SecretReLULayer,Inception-B3,0.2318,0.028,0.2031,0.3049,0.28,0.2999,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_3x3_1,10
inception_b3_b3_3x3_2,SGXConvBase,Inception-B3,10.916,0.9681,10.4428,13.8076,12.4145,13.529,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_relu2,10
inception_b3_b3_relu3,SecretReLULayer,Inception-B3,0.2408,0.0395,0.2025,0.3505,0.3061,0.3416,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_3x3_2,10
inception_b3_b4_pool,SecretMaxpool2dLayer,Inception-B3,0.3394,0.0483,0.299,0.4687,0.4226,0.4595,0,0,0,0,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",inception_b2_concat,10
inception_b3_b4_1x1,SGXConvBase,Inception-B3,14.6356,0.329,14.2327,15.3963,15.1812,15.3533,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b3_b4_pool,10
inception_b3_b4_relu,SecretReLULayer,Inception-B3,0.2244,0.0148,0.2015,0.2423,0.24,0.2418,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b4_1x1,10
